response_code,isbn,box,long_title,author,publisher,binding_type,pages,date_published
404,661741006715,01 Craft,N/A,N/A,N/A,N/A,N/A,N/A
200,9780307587060,01 Craft,"Knitting In Circles: 100 Circular Patterns For Sweaters, Bags, Hats, Afghans, And More",Nicky Epstein,Potter Craft,Hardcover,224,N/A
200,9780615528540,01 Craft,Deep South Knitting,Beth Moriarty,Planet Purl Press,Paperback,156,N/A
200,9780760340653,01 Craft,Knitting Hats & Mittens From Around The World: 34 Heirloom Patterns In A Variety Of Styles And Techniques,Kari A. Cornell,Voyageur Press,Hardcover,144,2012
200,9780760342558,01 Craft,Norwegian Handknits: Heirloom Designs From Vesterheim Museum,Janine Kosel,Voyageur Press,Paperback,144,N/A
200,9780942018035,01 Craft,Knitting Around,Elizabeth Zimmermann,Schoolhouse Pr,Hardcover,191,1989
200,9780955620614,01 Craft,Vintage Gifts To Knit,Susan Crawford,Arbour House Publishing,Paperback,84,2010
200,9780988324923,01 Craft,Botanical Knits: 12 Designs Inspired By Trees And Foliage,Alana Dakos,Nnk Press,Paperback,112,2013
200,9781250049834,01 Craft,Floral Knits: 25 Contemporary Flower-inspired Designs,Martin Storey,St. Martin's Griffin,Paperback,144,2014
200,9781564778321,01 Craft,Knits From The North Sea: Lace In The Shetland TraditionÂ ,Carol Rasmussen Noble,Martingale And Company,Paperback,80,2009
200,9781570765391,01 Craft,"Knitted Dolls: Handmade Toys With A Designer Wardrobe, Knitting Fun For The Child In All Of Us",Arne & Carlos,Trafalgar Square Books,Hardcover,200,2012
404,9781570766626,01 Craft,N/A,N/A,N/A,N/A,N/A,N/A
404,9781570767418,01 Craft,N/A,N/A,N/A,N/A,N/A,N/A
200,9781570767616,01 Craft,Make Your Own Ideabook With Arne & Carlos: Create Handmade Art Journals And Bound Keepsakes To Store Inspiration And Memories,Arne Nerjordet,Trafalgar Square Books,Paperback,168,2016
